YEAR	PEAK	FEB HIGH	FEB LOW	JAN HIGH	JAN LOW	JAN RAIN	FEB RAIN	SNOWjf	El Nino	La Nina	
1921	79	73	21	67	11	2.3	2.29	8.9	0	0	
1922	97	72	9	62	11	5.56	2.86	34.5	0	0	
1923	99	58	11	65	19	4.24	2.19	7	0	0	
1924	104	59	17	63	6	3.21	3.05	6.3	0	0	
1925	86	69	18	58	3	4.44	0.98	19.7	0	1	
1926	101	62	15	62	7	3.6	4.17	15.7	1	0	
1927	79	71	28	76	8	1.2	3.34	5.8	0	0	
1928	99	63	17	69	7	2.63	2.69	10.7	0	0	
1929	90	64	17	69	8	2.16	3.19	7.8	0	0	
1930	91	84	7	70	6	2.85	1.64	17.8	0	0	
1931	101	60	21	64	16	1.56	1.36	0	1	0	
1932	106	76	22	77	25	4.82	2.46	0	0	0	
1933	99	68	14	68	20	3.25	2.63	8.3	0	0	
1934	105	50	-6	69	8	1.97	3.22	19.6	0	1	
1935	91	68	6	59	-2	5.27	2.37	28.9	0	0	
1936	98	64	3	58	0	5.87	3.83	22	0	0	
1937	104	64	20	76	29	7.83	3.3	7.7	0	0	
1938	84	71	21	63	18	2.64	2.37	3	0	0	
1939	89	74	17	63	17	3.41	5.71	8.1	0	1	
1940	104	64	16	55	7	2.12	2.77	19.6	0	0	
1941	102	55	19	55	21	3.04	0.92	5.2	1	0	
1942	95	59	12	65	7	2.47	2.03	1.9	1	0	
1943	94	71	6	74	15	2.87	2.02	6.9	0	1	
1944	100	70	17	71	16	2.96	2.48	6.2	0	0	
1945	79	65	16	55	11	2.89	2.94	6	0	0	
1946	82	72	19	65	11	1.88	2.32	11.3	0	0	
1947	102	57	7	73	12	3.81	1.27	14.4	0	0	
1948	88	82	12	62	5	4.57	1.67	19.9	0	0	
1949	88	77	23	73	21	5.08	2.68	11.4	0	0	
1950	99	55	19	79	22	1.91	2.72	0.3	0	1	
1951	96	72	11	71	18	2.18	2.65	3.8	0	1	
1952	100	60	25	74	15	4.48	1.77	1.6	0	0	
1953	86	75	23	73	25	4.13	2.35	1.5	0	0	
1954	96	76	19	72	13	2.3	0.85	11.3	0	0	
1955	92	67	10	63	12	0.31	3.13	6.5	0	1	
1956	97	67	20	63	20	1.99	2.82	4.5	0	1	
1957	98	68	24	64	8	2.61	2.75	11.7	0	0	
1958	108	62	5	55	18	2.51	4.14	17.5	1	0	
1959	96	68	13	70	11	2.21	1.51	4	0	0	
1960	105	68	20	57	20	2.66	3.33	7.2	0	0	
1961	92	70	4	53	5	3.12	5.71	31.6	0	0	
1962	97	64	11	62	9	1.59	3.65	8.5	0	1	
1963	93	55	9	59	3	1.86	1.94	4.1	0	0	
1964	102	64	19	65	7	3.98	3.38	20.6	0	0	
1965	105	68	12	62	9	2.73	1.89	11	0	0	
1966	95	62	10	68	9	3.95	3.57	28.2	1	0	
1967	96	71	11	71	17	1.35	2.32	20.3	0	0	
1968	90	53	9	58	7	1.97	0.8	5.2	0	0	
1969	99	51	19	60	13	1.69	2.08	2.4	0	0	
1970	106	63	11	62	4	1.24	2.69	7.2	0	0	
1971	98	73	11	53	14	1.86	5.44	5.1	0	1	
1972	102	77	14	65	3	2.45	5.27	14.7	0	0	
1973	101	63	9	64	17	2.26	2.68	0.1	1	0	
1974	93	75	18	75	22	2.66	0.95	5.7	0	1	
1975	93	70	18	76	19	3.09	1.56	12.4	0	0	
1976	83	79	11	59	11	3.56	1.55	1	0	1	
1977	85	74	14	49	2	1.5	0.66	9.7	0	0	
1978	102	54	18	62	10	7.11	0.42	14.1	1	0	
1979	92	56	6	63	10	6.64	5.62	34.6	0	0	
1980	97	65	18	57	20	2.85	1.16	13.7	1	0	
1981	93	76	16	63	11	0.38	2.82	4.2	0	0	
1982	97	68	20	61	-5	2.27	3.33	20.6	0	0	
1983	97	63	16	61	16	1.69	3.09	21	1	0	
1984	94	71	19	59	3	1.71	3.43	6.5	0	0	
1985	97	78	16	61	-4	2.11	3.07	10	0	0	
1986	92	68	17	66	12	2.38	3.49	14.7	0	0	
1987	87	56	16	60	7	4.9	2.11	31.1	1	0	
1988	91	70	11	65	10	3.14	2.52	13.1	1	0	
1989	88	68	18	63	19	2.49	2.8	4.1	0	1	
1990	74	73	14	69	26	2.95	1.3	0.2	0	0	
1991	88	72	17	59	18	2.9	0.83	5.1	0	0	
1992	98	62	20	65	14	2.78	2.23	6.6	1	0	
1993	101	57	11	65	22	2.9	2.27	4.1	0	0	
1994	95	68	16	61	-4	4.28	4.2	6.6	0	0	
1995	92	62	7	70	15	3.22	1.71	9.7	1	0	
1996	95	72	5	62	14	5.01	1.99	39	0	0	
1997	85	77	28	73	11	2.55	2.43	6.3	0	0	
1998	86	62	27	69	18	5.43	5.23	0	1	0	
1999	95	74	20	71	16	5.42	2.54	2.4	0	1	
2000	77	76	22	71	14	3.66	2.06	15.4	0	1	
2001	96	70	21	59	20	2.22	1.83	5.2	0	0	
2002	92	77	21	77	20	1.32	0.47	3.2	0	0	
2003	92	54	15	62	11	2.41	6.98	33.2	1	0	
2004	91	66	15	72	8	1.35	2.28	12	0	0	
2005	99	64	20	71	12	3.31	1.63	9	0	0	
2006	89	66	14	65	25	3.25	2.46	3	0	0	
2007	91	59	10	73	15	2.46	2.22	10	1	0	
2008	86	74	16	73	18	1.37	4.17	2	0	1	
2009	91	72	15	51	8	2.68	0.35	2	0	0	
2010	90	50	16	68	16	1.56	2.72	23	1	0	
2011	88	77	19	59	17	2.25	2.12	9	0	1	
2012	80	72	23	68	17	2.19	2.33	1	0	1	
2013	99	60	18	72	15	2.53	1.67	0	0	0	
2014	100	69	14	61	6	2.58	4.02	15	0	0	
2015	100	68	5	67	12	3.73	1.68	13	0	0	
2016	85	65	13	62	15	2.68	3.79	11	1	0	
2017	84	77	23	72	15	2.75	0.68	1	0	0	
2018	95	82	17	68	8	0.94	4.79	2	0	0	
2019	91	74	18	64	10	3.3	3.52	9	0	0	
2020	80	65	22	72	23	2.79	3.21	0	0	0	
2021	87	60	25	58	24	1.93	4.66	3	0	1	
2022	80	77	21	66	16	3.68	2.33	6	0	1	
2023	82	81	16	69	29	1.65	2.08	0	0	0	
2024	77	68	26	80	16	5.88	1.41	8	0	0	
											
mean =	93.24038462	67.375	15.625	65.31730769	12.93269231	2.96375	2.624615385				

